Jacob's Funky Town North: Town of Funky Jakes	Jacob's Funky Town North is an oddly relaxing sight. Oddly relaxing because it is not the relaxing feeling one gets when sitting in a warm bath, but rather what one might experience when staring at something for so long, their vision blurs and their mind enters a state of dull calmness. The buildings and houses in this town all have some uncanny resemblance to one another. It is like looking at different sized versions of the same building all over the town: intriguingly cube-shaped, like Picasso's cubism taken from the canvas and transferred into a modern architecture, with giant windows and everything shades of blue. There is a coolness about this town. However, the buildings aren't the only things that have all been created to resemble each other; the inhabitants of this town also appear to be a population of identical units. They are tall, maybe almost seven feet. It's hard to say exactly, as their long slender limbs seem to exaggerate their height. Their hair, dark and sleek like a small waterfall upon each of their heads; they have eyes that portray a particular wanting of world dominance. They call themselves The Funky Jakes of Northside.	Jacob's Funky Town South: Town of Funky Jakes,Jacob's Walk of Fame	south,east	Jacob's Latest Report Card,Jacob's Baby Pictures,Super Slippers
Jacob's Funky Town South: Town of Funky Jakes	Jacob's Funky Town South is almost an entirely different sight compared to the north side. While there is conformity among the buildings and inhabitants of Jacob's Funky Town North, the buildings in Jacob's Funky Town South are all very different in shape, colour and size. The inhabitants, however, are all still anatomically identical like those in the north end of town, but those who live on the south side have become known as the Jacob Smith rogues. They fight conformity, but each suffers from slight self resentment for looking the same as everyone else in the town. Many of the shops here sell clothing, and not a single shop carries the same clothing or even more than one piece of the same item. There is always a high demand for a new and unique fashion idea to keep things fresh.	Jacob's Funky Town North: Town of Funky Jakes,Zed Lepplin's Stairway	north,south	Weird Potion,Sexy Key
Mos Eisley	Bandit hideout. Be careful.	Goblins' Secret Tunnel,Mos Eisley Dunes,Lambda-class T-4a Shuttle Route,Jacob's Walk of Fame	north,east,south,west	Weird Potion,Wet Towel,Bag of Potatoes,Pair of Glasses,Sword,Longsword,Heavy Spear
Dr. Bones' Wild Dungeon	The scent of rotting corpses could be smelled from outside the door, almost like a warning to stay away.  Now inside, the smell is worse, and there is an underlying scent of caramel.  The rotting corpses smell so rancid that any pleasantness or liking that caramel has ever brought you is now tainted.  Dead bodies can be seen just about everywhere.  They are piled, rotting in a corner, and even hanging from chains on the ceiling.  There is a skeleton-like figure in the corner hovering over something.  It is a large, steaming pot and the pot's contents now explain the putrid smell of this room.  Whoever that skeleton is, he is a freak and a maniac.  Who boils human flesh and flavours it with caramel???	Lambda-class T-4a Shuttle Route,Wet and Wild River	north,east	Weird Potion,Nuclear Bomb
Tyrael's Sky Realm	It was Tyreal's stronghold. Since it was too high to reach, the stronghold was abondoned. One day, after someone built the Zed Lepplin's Stairway, people started to move in. Now it have become the second largest tour attraction. Yes, the largest one is Jacob's Funky Town.	Zed Lepplin's Stairway	north	Weird Potion,Baseball Bat
Rivendell West	All the good items, but everybody there is a fruit	Rivendell East,Mos Eisley Dunes	east,west	Weird Potion,Sword,Longsword
Rivendell East	You can't miss a everyday tour by Tom Bombadil to the Waterfall of Rivendell here.	The Road Not Taken,Rivendell West	south,west	Wet Towel
Goblins' Crazy Dungeon	Muffled shouts and curses can be heard from outside the door.  The handle is slimy, but the door opens easily.  It is brightly lit inside and the the cause for all the screaming becomes suddenly and oddly clear.  Goblins.  This room is full of goblins, and it looks like they have a strong interest in wrestlemania.  They wrestinnn	The Darkness,Goblins' Secret Tunnel	north,south	Weird Potion,Shield
Kuil Caves Depths	The cave is extremely dark, yet not entirely pitch black.  The walls have an interesting glimmer about them.  Every now and then, it almost looks like there is gold in the walls, and that is what ever so slightly illuminates the cave.  The monotonous dripping of water can be heard echoing throughout.  It is dank and at first, only the silhouettes of stalactite can be seen.  However, some dark objects can be seen scattered around the floor of the cave.	The Road Not Taken,Wet and Wild River	north,west	Weird Potion,Recursive Bow
The Darkness	No, you can't shoot a magic missile at it.	Goblins' Crazy Dungeon,Not Dennis	south,dennis	The Blackest of Black Hearts
Not Dennis	The opposite of Dennis	The Darkness	not dennis	The Cheat
Zed Lepplin's Stairway	Zed Lepplin’s Stairway contains over 10,000 stairs.  No one knows who built them, or if they were built from the ground up or from the sky down.  These stairs look sturdy, but no railings accompany the long way up. 	Jacob's Funky Town South: Town of Funky Jakes,Tyrael's Sky Realm	north,south	
Jacob's Walk of Fame	Yup, you can visit the Walk of Fame without going to LA. It brings you from Jacob's Funky Town North to Mos Eisley and vise versa.	Mos Eisley,Jacob's Funky Town North: Town of Funky Jakes	east,west	
Mos Eisley Dunes	Say no to sand-worn, but it still opens all day and all night. People use it as a shortcut travelling between MosEisley and Rivendell. You can find the gate of Rivendell West somehow. 	Rivendell West,Mos Eisley	east,west	
Goblins' Secret Tunnel	Goblins' Secret Tunnel secretly connects Mos Eisley and Goblins' Crazy Dungeon. Everything is so secret except the name.	Goblins' Crazy Dungeon,Mos Eisley	north,south	
The Road Not Taken	It's literally a road between Rivendell East and Kuil Caves Depths but not the poem.	Rivendell East,Kuil Caves Depths	north,south	
Wet and Wild River	Lying on a small lifeboat by yourself and travel between Dr. Bones' Wild Dungeon and Kuil Caves Depths.	Kuil Caves Depths,Dr. Bones' Wild Dungeon	east,west	
Lambda-class T-4a Shuttle Route	A shuttle route running by T-4a Shuttles provides comfortable transportation between Dr Bones' Wild Dungeon and Mos Eisley.	Mos Eisley,Dr. Bones' Wild Dungeon	north,south	
